EPCC_category,EPCC_name,EPCC_code,mild,moderate,severe
Abnormalities of position and connection of heart,"Abnormal atrial arrangement, Left isomerism ('polysplenia'),",03.01.05,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s),",01.03.09,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double inlet atrioventricular connection (double inlet ventricle),",01.01.14,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double inlet atrioventricular connection (double inlet ventricle), Double inlet right ventricle,",01.04.03,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double inlet atrioventricular connection (double inlet ventricle), Double inlet left ventricle,",01.04.04,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Tricuspid atresia,",06.01.01,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Mitral atresia,",06.02.01,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Solitary ventricle of indeterminate morphology,",02.03.05,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Abnormal position or relationship of great vessels,",02.07.04,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Transposition of great arteries (discordant ventriculo-arterial connections) (TGA),",01.05.01,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Transposition of great arteries (TGA) (concordant atrioventricular & discordant ventriculo-arterial connections) & intact ventricular septum,",01.01.02,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Congenitally corrected transposition of great arteries (discordant atrioventricular & ventriculo-arterial connections),",01.01.03,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle,",01.01.04,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle: Fallot type (subaortic or doubly committed ventricular septal defect & pulmonary stenosis),",01.01.17,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle: transposition type (subpulmonary ventricular septal defect),",01.01.18,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle: with non-committed ventricular septal defect,",01.01.19,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle: subaortic or doubly committed ventricular septal defect without pulmonary stenosis ('VSD type'),",01.01.40,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet right ventricle: with intact ventricular septum,",01.01.24,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Double outlet left ventricle,",01.05.03,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Common arterial trunk (truncus arteriosus),",09.01.01,FALSE,FALSE,TRUE
Abnormalities of position and connection of heart,"Anomaly of atrioventricular and-or ventriculo-arterial connection(s), Concordant VA connections with parallel great arteries (anatomically corrected malposition),",01.05.10,FALSE,FALSE,FALSE
Tetralogy of Fallot and variants,"Tetralogy of Fallot,",01.01.01,FALSE,TRUE,FALSE
Tetralogy of Fallot and variants,"Pulmonary atresia + ventricular septal defect (VSD) (including Fallot type),",01.01.06,FALSE,FALSE,TRUE
Tetralogy of Fallot and variants,"Pulmonary atresia + ventricular septal defect (VSD) + systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),",01.01.25,FALSE,FALSE,TRUE
Tetralogy of Fallot and variants,"Absent pulmonary valve syndrome: Fallot-type,",09.05.25,FALSE,TRUE,FALSE
Tetralogy of Fallot and variants,"Solitary arterial trunk (absent intrapericardial pulmonary arteries),",09.07.26,FALSE,FALSE,TRUE
Tetralogy of Fallot and variants,"Major systemic-to-pulmonary collateral artery(ies) (MAPCA(s)),",09.08.01,FALSE,FALSE,FALSE
Tetralogy of Fallot and variants,"Systemic-to-pulmonary collateral arter(ies) (MAPCA(s)) stenosis(es),",09.20.25,FALSE,FALSE,FALSE
Abnormalities of great veins,"Superior caval vein (SVC) abnormality,",04.01.00,FALSE,FALSE,FALSE
Abnormalities of great veins,"Superior caval vein (SVC) abnormality, Left superior caval vein (SVC) persisting to coronary sinus,",04.01.01,FALSE,FALSE,FALSE
Abnormalities of great veins,"Inferior caval vein (IVC) abnormality,",04.03.00,FALSE,FALSE,FALSE
Abnormalities of great veins,"Inferior caval vein (IVC) abnormality, Interrupted inferior caval vein (IVC) with absent suprarenal segment and azygos continuation,",04.03.10,FALSE,FALSE,FALSE
Abnormalities of great veins,"Hepatic vein abnormality,",04.02.00,FALSE,FALSE,FALSE
Abnormalities of great veins,"Congenital anomaly of systemic vein(s),",04.05.00,FALSE,FALSE,FALSE
Abnormalities of great veins,"Systemic venovenous collateral(s),",04.00.06,FALSE,FALSE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality,",04.08.00,FALSE,FALSE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Pulmonary vein stenosis,",04.08.91,FALSE,FALSE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection,",04.08.05,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: supracardiac,",04.06.00,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: intracardiac,",04.08.10,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: infracardiac,",04.08.20,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Totally anomalous pulmonary venous connection, Totally anomalous pulmonary venous connections: mixed,",04.08.30,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Partially anomalous pulmonary venous connection(s),",04.07.01,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Partially anomalous pulmonary venous connection(s), Partially anomalous pulmonary venous connection of Scimitar type,",01.01.16,FALSE,TRUE,FALSE
Abnormalities of great veins,"Pulmonary vein abnormality, Obstructed pulmonary venous pathway or connection,",04.08.06,FALSE,FALSE,FALSE
Abnormalities of great veins,"Coronary sinus abnormality,",04.04.00,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Right atrial abnormality,",05.01.00,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Left atrial abnormality,",05.02.00,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Left atrial abnormality, Cor triatriatum (divided left atrium),",05.02.01,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Intact atrial septum (no interatrial communication),",05.03.10,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality,",05.03.00,TRUE,TRUE,TRUE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Patent foramen ovale (PFO),",05.03.01,TRUE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Interatrial communication ('ASD'),",05.04.01,TRUE,TRUE,TRUE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Atrial septal defect (ASD) within oval fossa (secundum),",05.04.02,TRUE,TRUE,TRUE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Spontaneous closure of atrial septal defect (ASD) within oval fossa (secundum),",05.04.03,FALSE,FALSE,FALSE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Sinus venosus defect (ASD),",05.05.00,FALSE,TRUE,FALSE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Common atrium (virtual absence of atrial septum),",05.06.01,FALSE,TRUE,FALSE
Abnormalities of atriums and atrial septum,"Atrial septum abnormality, Interatrial communication (ASD) through coronary sinus orifice,",05.05.03,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality,",06.01.00,TRUE,TRUE,TRUE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Tricuspid regurgitation,",06.01.91,FALSE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Tricuspid regurgitation, Congenital tricuspid regurgitation,",06.01.25,FALSE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Tricuspid valvar dysplasia,",06.01.03,FALSE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Straddling tricuspid valve,",06.01.09,FALSE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Ebstein malformation of tricuspid valve,",06.01.34,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Tricuspid valvar abnormality, Tricuspid stenosis,",06.01.92,FALSE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral stenosis,",06.02.92,TRUE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality,",06.02.00,TRUE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Mitral regurgitation,",06.02.91,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Mitral regurgitation, Congenital mitral regurgitation,",06.02.25,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Straddling mitral valve,",06.02.09,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Supravalvar or intravalvar mitral ring,",05.02.02,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Mitral valvar prolapse,",06.02.35,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, True cleft of mitral leaflet (without atrioventricular septal defect),",06.02.36,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Mitral valve stenosis,",06.02.93,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral valvar abnormality, Mitral valve stenosis, Congenital mitral valvar stenosis,",06.02.07,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral subvalvar apparatus abnormality,",06.02.12,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral subvalvar apparatus abnormality, Mitral subvalvar stenosis,",06.02.13,TRUE,FALSE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Mitral subvalvar apparatus abnormality, Parachute malformation of mitral valve,",06.02.56,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD),",06.06.00,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD), Partial atrioventricular septal defect (AVSD) with isolated atrial component (primum ASD),",06.06.01,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD), Atrioventricular septal defect (AVSD) with isolated ventricular component,",06.06.08,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD), Complete atrioventricular septal defect (AVSD) with atrial and ventricular components,",06.06.09,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD), Intermediate atrioventricular septal defect (AVSD) with atrial and ventricular components and separate atrioventricular valvar orifices,",06.06.10,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect (AVSD), Atrioventricular septal defect (AVSD) with ventricular imbalance,",06.07.26,FALSE,TRUE,TRUE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atypical atrioventricular valve in atrioventricular septal defect (AVSD),",06.05.01,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atypical atrioventricular valve in atrioventricular septal defect (AVSD), Atrioventricular septal defect (AVSD) atrioventricular valvar regurgitation,",06.05.06,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atypical atrioventricular valve in atrioventricular septal defect (AVSD), Deficient mural-lateral leaflet of left ventricular component of common atrioventricular valve (left atrioventricular valve),",06.05.98,FALSE,TRUE,FALSE
Abnormalities of atrioventricular valves and atrioventricular septal defect,"Atrioventricular septal defect and Tetralogy of Fallot,",01.01.20,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Functionally univentricular heart,",01.01.22,FALSE,FALSE,TRUE
Abnormalities of ventricles and ventricular septum,"Ventricular imbalance: dominant left ventricle + hypoplastic right ventricle,",07.08.41,FALSE,FALSE,TRUE
Abnormalities of ventricles and ventricular septum,"Ventricular imbalance: dominant right ventricle + hypoplastic left ventricle,",07.08.42,FALSE,FALSE,TRUE
Abnormalities of ventricles and ventricular septum,"Right ventricular abnormality,",07.01.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Right ventricular abnormality, Right ventricular aneurysm,",07.01.14,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Right ventricular abnormality, Right ventricular hypoplasia,",07.02.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Right ventricular abnormality, Double chambered right ventricle,",07.03.01,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Right ventricular outflow tract obstruction,",07.05.01,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Left ventricular abnormality,",07.06.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Left ventricular abnormality, Left ventricular hypoplasia,",07.07.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Left ventricular abnormality, Left ventricular aneurysm,",07.06.13,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Hypoplastic left heart syndrome,",01.01.09,FALSE,FALSE,TRUE
Abnormalities of ventricles and ventricular septum,"Left ventricular outflow tract obstruction,",07.09.01,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Left heart obstruction at multiple sites (including Shone syndrome),",01.01.33,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Intact ventricular septum,",07.21.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD),",07.10.00,TRUE,TRUE,TRUE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Single ventricular septal defect (VSD),",07.15.05,TRUE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Ventricular septal defect(s): haemodynamically insignificant,",07.15.01,TRUE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Multiple ventricular septal defect (VSD)s,",07.15.04,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Perimembranous ventricular septal defect (VSD),",07.10.01,TRUE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Ventricular septal defect (VSD) with malaligned outlet septum,",07.10.12,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Inlet ventricular septal defect (VSD),",07.14.05,FALSE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Muscular ventricular septal defect (VSD),",07.11.01,TRUE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Subarterial (outlet) ventricular septal defect (VSD),",07.12.00,TRUE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Subarterial (outlet) ventricular septal defect (VSD), Doubly committed subarterial ventricular septal defect (VSD),",07.12.01,TRUE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Communication between left ventricle + right atrium (Gerbode defect),",07.14.02,TRUE,TRUE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal defect (VSD), Spontaneous closure of ventricular septal defect (VSD),",07.16.01,TRUE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal abnormality,",07.20.00,FALSE,FALSE,FALSE
Abnormalities of ventricles and ventricular septum,"Ventricular septal abnormality, Aneurysm of membranous septum,",07.20.01,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortopulmonary window,",09.04.01,FALSE,TRUE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary artery from ascending aorta (hemitruncus),",09.09.08,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Truncal valvar abnormality,",09.02.00,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Truncal valvar abnormality, Truncal valvar regurgitation,",09.02.03,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary stenosis,",09.05.92,TRUE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary stenosis, Subpulmonary stenosis,",07.05.30,TRUE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary valvar abnormality,",09.05.00,TRUE,TRUE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary valvar abnormality, Pulmonary valvar stenosis,",09.05.01,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary valvar abnormality, Pulmonary valvar stenosis, Congenital pulmonary valvar stenosis,",09.05.04,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary valvar abnormality, Pulmonary regurgitation,",09.05.91,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary valvar abnormality, Pulmonary regurgitation, Congenital pulmonary regurgitation,",09.05.22,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary atresia,",09.05.11,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary atresia, Pulmonary atresia: imperforate valve,",09.05.12,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary atresia, Pulmonary atresia + intact ventricular septum,",01.01.07,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Coronary fistulas within right ventricle ('sinusoidal'),",09.45.11,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Right ventricle dependent coronary circulation,",09.46.06,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary trunk (MPA) abnormality,",09.07.00,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary trunk (MPA) abnormality, Supravalvar pulmonary trunk stenosis,",09.07.13,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary trunk (MPA) abnormality, Pulmonary trunk hypoplasia,",09.07.11,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality,",09.10.00,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial stenosis,",09.10.01,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial stenosis, Central pulmonary arterial stenosis or hypoplasia: proximal to hilar bifurcation,",09.10.07,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial stenosis, Peripheral pulmonary arterial stenoses or hypoplasia: at-beyond hilar bifurcation,",09.10.06,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial stenosis, Right pulmonary arterial stenosis,",09.10.25,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial stenosis, Left pulmonary arterial stenosis,",09.10.26,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial hypoplasia,",09.10.11,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Discontinuous (non-confluent) right and left pulmonary arteries,",09.10.10,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Pulmonary arterial abnormality, Pulmonary arterial aneurysm,",09.10.44,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic stenosis,",09.15.92,TRUE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic stenosis, Subaortic stenosis,",07.09.00,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic stenosis, Subaortic stenosis, Subaortic stenosis due to fibromuscular shelf,",07.09.03,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality,",09.15.00,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic valvar stenosis,",09.15.13,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic valvar stenosis, Congenital aortic valvar stenosis,",09.15.01,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Eccentric opening of tricuspid aortic valve,",09.15.12,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic regurgitation,",09.15.91,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic regurgitation, Congenital aortic regurgitation,",09.15.07,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Bicuspid aortic valve,",09.15.22,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic atresia,",09.15.03,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic valvar abnormality, Aortic valvar prolapse,",09.15.30,TRUE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality,",07.09.31,TRUE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality, Ascending aorta abnormality,",09.16.10,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality, Ascending aorta hypoplasia,",09.16.02,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality, Supravalvar aortic stenosis,",09.16.00,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality, Ascending aorta dilation,",09.16.09,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic abnormality, Ascending aorta dilation, Ascending aorta dilation associated with Marfan syndrome,",09.16.05,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic sinus of Valsalva aneurysm,",09.18.01,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortoventricular tunnel,",09.17.01,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortoventricular tunnel, Aorto: left ventricular tunnel,",09.17.02,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality,",09.28.00,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality, Right aortic arch,",09.28.15,FALSE,FALSE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality, Aortic coarctation,",09.29.01,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality, Aortic arch hypoplasia (tubular),",09.29.11,FALSE,TRUE,FALSE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality, Interrupted aortic arch,",09.29.31,FALSE,FALSE,TRUE
Abnormalities of ventriculo-arterial valves and great arteries,"Aortic arch abnormality, Aortic arch branch abnormality,",09.30.00,FALSE,FALSE,FALSE
